Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,C.J. Anderson,LA,RB,43,21.5,299,7.0,149.5,2,46,18,41.9,2,1,0
2,Ezekiel Elliott,DAL,RB,304,20.3,1434,4.7,95.6,6,41,73,24.0,11,1,6
3,Todd Gurley,LA,RB,256,18.3,1251,4.9,89.4,17,36,70,27.3,11,0,0
4,Joe Mixon,CIN,RB,237,16.9,1168,4.9,83.4,8,51,60,25.3,11,3,0
5,Chris Carson,SEA,RB,247,17.6,1151,4.7,82.2,9,61,61,24.7,8,1,3
6,Saquon Barkley,NYG,RB,261,16.3,1307,5.0,81.7,11,78T,50,19.2,16,7,0
7,Marlon Mack,IND,RB,195,16.2,908,4.7,75.7,9,49,50,25.6,7,1,1
8,Kareem Hunt,KC,RB,181,16.5,824,4.6,74.9,7,45,46,25.4,7,1,0
9,James Conner,PIT,RB,215,16.5,973,4.5,74.8,12,30,56,26.0,9,0,3
10,Melvin Gordon,LAC,RB,175,14.6,885,5.1,73.8,10,34T,47,26.9,9,0,0
11,Sony Michel,NE,RB,209,16.1,931,4.5,71.6,6,34T,54,25.8,4,0,1
12,Lamar Miller,HOU,RB,210,15.0,973,4.6,69.5,5,97T,36,17.1,6,2,0
13,Phillip Lindsay,DEN,RB,192,12.8,1037,5.4,69.1,9,65T,49,25.5,8,3,0
14,Christian McCaffrey,CAR,RB,219,13.7,1098,5.0,68.6,7,59,53,24.2,6,3,2
15,Derrick Henry,TEN,RB,215,13.4,1059,4.9,66.2,12,99T,51,23.7,4,2,0
16,Gus Edwards,BAL,RB,137,12.5,718,5.2,65.3,2,43,37,27.0,4,1,0
17,Adrian Peterson,WAS,RB,251,15.7,1042,4.2,65.1,7,90T,47,18.7,5,3,2
18,Kerryon Johnson,DET,RB,118,11.8,641,5.4,64.1,3,71,32,27.1,6,1,1
19,Marshawn Lynch,OAK,RB,90,15.0,376,4.2,62.7,3,52,20,22.2,1,1,0
20,Nick Chubb,CLE,RB,192,12.0,996,5.2,62.2,8,92T,47,24.5,11,4,0
21,Aaron Jones,GB,RB,133,11.1,728,5.5,60.7,8,67,41,30.8,4,1,1
22,Alvin Kamara,NO,RB,194,12.9,883,4.6,58.9,14,49T,57,29.4,1,1,0
23,David Johnson,ARI,RB,258,16.1,940,3.6,58.8,7,53,51,19.8,2,1,2
24,Jordan Howard,CHI,RB,250,15.6,935,3.7,58.4,9,42,53,21.2,5,1,2
25,Matt Breida,SF,RB,153,10.9,814,5.3,58.1,3,66T,36,23.5,10,1,1
26,Dalvin Cook,MIN,RB,133,12.1,615,4.6,55.9,2,70,22,16.5,4,1,2
27,Kenneth Dixon,BAL,RB,60,10.0,333,5.6,55.5,2,37,20,33.3,2,0,2
28,Leonard Fournette,JAX,RB,133,16.6,439,3.3,54.9,5,25,23,17.3,2,0,0
29,Peyton Barber,TB,RB,234,14.6,871,3.7,54.4,5,28,41,17.5,4,0,1
30,Mark Ingram,NO,RB,138,11.5,645,4.7,53.8,6,38,34,24.6,3,0,2
31,Isaiah Crowell,NYJ,RB,143,11.0,685,4.8,52.7,6,77T,26,18.2,6,3,0
32,Frank Gore,MIA,RB,156,11.1,722,4.6,51.6,0,39,25,16.0,5,0,1
33,Tevin Coleman,ATL,RB,167,10.4,800,4.8,50.0,4,65,36,21.6,8,2,1
34,Bilal Powell,NYJ,RB,80,11.4,343,4.3,49.0,0,38,16,20.0,2,0,2
35,Jay Ajayi,PHI,RB,45,11.2,184,4.1,46.0,3,20,11,24.4,1,0,1
36,Doug Martin,OAK,RB,172,10.8,723,4.2,45.2,4,29,37,21.5,2,0,3
37,Jeff Wilson,SF,RB,66,11.0,266,4.0,44.3,0,18,13,19.7,0,0,3
38,Alex Collins,BAL,RB,114,11.4,411,3.6,41.1,7,19,22,19.3,0,0,3
39,Austin Ekeler,LAC,RB,106,7.6,554,5.2,39.6,3,41,25,23.6,4,1,0
40,Keith Ford,BUF,RB,21,10.5,79,3.8,39.5,0,11,4,19.0,0,0,0
41,Royce Freeman,DEN,RB,130,9.3,521,4.0,37.2,5,24,30,23.1,2,0,1
42,LeSean McCoy,BUF,RB,161,11.5,514,3.2,36.7,3,28T,22,13.7,3,0,0
43,Josh Adams,PHI,RB,120,8.6,511,4.3,36.5,3,29,23,19.2,4,0,1
44,Latavius Murray,MIN,RB,140,8.8,578,4.1,36.1,6,38T,23,16.4,6,0,0
45,Alfred Morris,SF,RB,111,9.2,428,3.9,35.7,2,51,24,21.6,3,1,2
46,Elijah McGuire,NYJ,RB,92,11.5,276,3.0,34.5,3,34,15,16.3,1,0,2
47,Mike Davis,SEA,RB,112,7.5,514,4.6,34.3,4,37,25,22.3,2,0,0
48,Devonta Freeman,ATL,RB,14,7.0,68,4.9,34.0,0,20,2,14.3,2,0,0
49,Kenyan Drake,MIA,RB,120,7.5,535,4.5,33.4,4,54T,23,19.2,4,1,2
50,Zach Zenner,DET,RB,55,6.9,265,4.8,33.1,3,29,14,25.5,1,0,0
51,Dion Lewis,TEN,RB,155,9.7,517,3.3,32.3,1,36,22,14.2,2,0,1
52,Alfred Blue,HOU,RB,150,9.4,499,3.3,31.2,2,17,25,16.7,0,0,0
53,Rashaad Penny,SEA,RB,85,6.1,419,4.9,29.9,2,38,18,21.2,4,0,0
54,Chris Ivory,BUF,RB,115,8.8,385,3.3,29.6,1,21,25,21.7,2,0,1
55,T.J. Yeldon,JAX,RB,104,7.4,414,4.0,29.6,1,20,16,15.4,1,0,1
56,Raheem Mostert,SF,RB,34,3.8,261,7.7,29.0,1,52T,13,38.2,2,1,1
56,Jamaal Williams,GB,RB,121,7.6,464,3.8,29.0,3,20,25,20.7,1,0,0
58,Tarik Cohen,CHI,RB,99,6.2,444,4.5,27.8,3,32,20,20.2,7,0,2
59,James White,NE,RB,94,5.9,425,4.5,26.6,5,27T,22,23.4,5,0,0
60,LeGarrette Blount,DET,RB,154,9.6,418,2.7,26.1,5,27,25,16.2,2,0,1
61,Jeremy Hill,NE,RB,4,4.0,25,6.3,25.0,0,11,1,25.0,0,0,0
61,Jeremy Langford,ATL,RB,9,9.0,25,2.8,25.0,0,7,1,11.1,0,0,0
