state,total_pop,veteran_pop,veteran_pct,pop_terror,pct_terror,pop_gulf,pct_gulf,pop_vietnam,pct_vietnam,pop_korea,pct_korea,pop_wwii,pct_wwii
Alabama,3767665,334186,8.9,73616,22,87846,26.3,119292,35.7,23888,7.1,7084,2.1
Alaska,538005,64057,11.9,21139,33,20154,31.5,19603,30.6,2127,3.3,870,1.4
Arizona,5364972,480778,9,89753,18.7,93207,19.4,175729,36.6,41835,8.7,13051,2.7
Arkansas,2290421,203639,8.9,41565,20.4,47529,23.3,76344,37.5,14364,7.1,5098,2.5
California,30351316,1564913,5.2,305805,19.5,283242,18.1,561183,35.9,143607,9.2,60880,3.9
Colorado,4310059,372857,8.7,92110,24.7,92575,24.8,128507,34.5,25170,6.8,8856,2.4
Connecticut,2836991,164988,5.8,24430,14.8,21899,13.3,58591,35.5,19693,11.9,11647,7.1
Delaware,754546,64027,8.5,12283,19.2,14221,22.2,24618,38.4,4721,7.4,1971,3.1
District of Columbia,565970,27903,4.9,7716,27.7,4410,15.8,8588,30.8,2817,10.1,683,2.4
Florida,16731122,1438337,8.6,257911,17.9,301106,20.9,515233,35.8,140010,9.7,59229,4.1
Georgia,7867010,622790,7.9,138560,22.2,169716,27.3,212166,34.1,33868,5.4,13706,2.2
Hawaii,1078468,106123,9.8,32050,30.2,22943,21.6,34813,32.8,7503,7.1,3599,3.4
Idaho,1269341,111015,8.7,21232,19.1,22025,19.8,43051,38.8,8130,7.3,3631,3.3
Illinois,9889114,576214,5.8,93897,16.3,95620,16.6,206016,35.8,50734,8.8,23865,4.1
Indiana,5089562,386929,7.6,61861,16,69813,18,136137,35.2,28192,7.3,13945,3.6
Iowa,2413716,178829,7.4,26002,14.5,27689,15.5,67084,37.5,18638,10.4,7670,4.3
Kansas,2183900,175064,8,37749,21.6,34684,19.8,64044,36.6,14658,8.4,6473,3.7
Kentucky,3424795,263104,7.7,49415,18.8,50603,19.2,98261,37.3,17645,6.7,6401,2.4
Louisiana,3559329,237672,6.7,50127,21.1,53998,22.7,84444,35.5,17255,7.3,7173,3
Maine,1080264,104728,9.7,15152,14.5,20799,19.9,38331,36.6,9411,9,4410,4.2
Maryland,4679385,369845,7.9,93641,25.3,95219,25.7,114442,30.9,24091,6.5,10714,2.9
Massachusetts,5484529,304373,5.5,46068,15.1,43667,14.3,106710,35.1,34453,11.3,15803,5.2
Michigan,7782358,552362,7.1,70542,12.8,87441,15.8,207660,37.6,48357,8.8,24338,4.4
Minnesota,4276588,303524,7.1,40159,13.2,43171,14.2,121502,40,28513,9.4,11292,3.7
Mississippi,2259367,164848,7.3,36329,22,43557,26.4,60496,36.7,11340,6.9,3431,2.1
Missouri,4709306,408668,8.7,67249,16.5,80867,19.8,154534,37.8,31324,7.7,12174,3
Montana,818256,86787,10.6,17199,19.8,16028,18.5,34034,39.2,6255,7.2,2542,2.9
Nebraska,1440800,117048,8.1,21554,18.4,26779,22.9,43202,36.9,11091,9.5,4209,3.6
Nevada,2306248,201917,8.8,40628,20.1,42647,21.1,72637,36,13822,6.8,4975,2.5
New Hampshire,1082314,92693,8.6,11666,12.6,17934,19.3,34130,36.8,8021,8.7,3727,4
New Jersey,7018171,325283,4.6,44273,13.6,39837,12.2,122258,37.6,38042,11.7,15705,4.8
New Mexico,1589960,148310,9.3,28365,19.1,34070,23,56026,37.8,12612,8.5,3199,2.2
New York,15671619,699604,4.5,103893,14.9,94021,13.4,244274,34.9,76154,10.9,39394,5.6
North Carolina,7878846,656044,8.3,139069,21.2,158733,24.2,228251,34.8,43952,6.7,14631,2.2
North Dakota,575151,46221,8,11064,23.9,9614,20.8,15600,33.8,3371,7.3,1453,3.1
Ohio,9047437,714647,7.9,108191,15.1,128304,18,261225,36.6,57220,8,25467,3.6
Oklahoma,2953147,269154,9.1,58934,21.9,61751,22.9,97127,36.1,21387,7.9,6489,2.4
Oregon,3266071,276280,8.5,40967,14.8,49445,17.9,110668,40.1,23024,8.3,9491,3.4
Pennsylvania,10134279,742199,7.3,100193,13.5,120357,16.2,277671,37.4,70351,9.5,36786,5
Rhode Island,849171,52261,6.2,8580,16.4,8778,16.8,19585,37.5,6496,12.4,2292,4.4
South Carolina,3890364,362121,9.3,74263,20.5,86780,24,137363,37.9,23727,6.6,6994,1.9
South Dakota,653291,58880,9,11472,19.5,11976,20.3,22583,38.4,5689,9.7,1403,2.4
Tennessee,5189066,429173,8.3,75557,17.6,92753,21.6,162859,37.9,27711,6.5,11258,2.6
Texas,20855881,1460397,7,373828,25.6,385896,26.4,478052,32.7,89803,6.1,34284,2.3
Utah,2172801,124785,5.7,27020,21.7,25059,20.1,43798,35.1,10982,8.8,5162,4.1
Vermont,505237,37545,7.4,4910,13.1,6086,16.2,14737,39.3,3624,9.7,1101,2.9
Virginia,6488680,687271,10.6,215868,31.4,233268,33.9,205949,30,37785,5.5,15028,2.2
Washington,5710964,535293,9.4,126108,23.6,122311,22.8,192149,35.9,34731,6.5,13189,2.5
West Virginia,1440967,127149,8.8,18562,14.6,23053,18.1,49964,39.3,11205,8.8,4040,3.2
Wisconsin,4513009,327271,7.3,45880,14,53470,16.3,123152,37.6,29954,9.2,12346,3.8
Wyoming,437821,44499,10.2,10439,23.5,9100,20.4,15133,34,3368,7.6,1373,3.1
